"","section","subsection","title","abstract","url","byline","item_type","updated_date","created_date","published_date","material_type_facet","kicker","multimedia.url","multimedia.format","multimedia.height","multimedia.width","multimedia.type","multimedia.subtype","multimedia.caption","multimedia.copyright","multimedia.url.1","multimedia.format.1","multimedia.height.1","multimedia.width.1","multimedia.type.1","multimedia.subtype.1","multimedia.caption.1","multimedia.copyright.1","multimedia.url.2","multimedia.format.2","multimedia.height.2","multimedia.width.2","multimedia.type.2","multimedia.subtype.2","multimedia.caption.2","multimedia.copyright.2","multimedia.url.3","multimedia.format.3","multimedia.height.3","multimedia.width.3","multimedia.type.3","multimedia.subtype.3","multimedia.caption.3","multimedia.copyright.3","multimedia.url.4","multimedia.format.4","multimedia.height.4","multimedia.width.4","multimedia.type.4","multimedia.subtype.4","multimedia.caption.4","multimedia.copyright.4","short_url","stringsAsFactor","des_facet","per_facet","des_facet1","des_facet2","des_facet3","des_facet4","org_facet1","org_facet2","per_facet1","per_facet2","geo_facet","geo_facet1","geo_facet2","org_facet","per_facet3","per_facet4","per_facet5","per_facet6","per_facet7","des_facet5","des_facet6","des_facet7","des_facet8","geo_facet3","geo_facet4","geo_facet5","org_facet3","des_facet9","des_facet10","des_facet11","des_facet12","org_facet4","org_facet5","org_facet6","org_facet7","per_facet8","per_facet9","per_facet10","per_facet11","geo_facet6"
"1","Briefing","","Shinzo Abe, Catalonia, Jimmy Carter: Your Monday Briefing","Here’s what you need to know to start your day.","https://www.nytimes.com/2017/10/22/briefing/shinzo-abe-catalonia-jimmy-carter.html","By CHARLES McDERMID","Article","2017-10-22T21:11:40-04:00","2017-10-22T15:00:46-04:00","2017-10-22T15:00:46-04:00","","","https://static01.nyt.com/images/2017/10/22/briefing/23ASIA-briefing-promo/23ASIA-briefing-promo-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","","","https://static01.nyt.com/images/2017/10/22/briefing/23ASIA-briefing-promo/23ASIA-briefing-promo-thumbLarge.jpg","thumbLarge","150","150","image","photo","","","https://static01.nyt.com/images/2017/10/22/briefing/23ASIA-briefing-promo/23ASIA-briefing-promo-articleInline.jpg","Normal","127","190","image","photo","","","https://static01.nyt.com/images/2017/10/22/briefing/23ASIA-briefing-promo/23ASIA-briefing-promo-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","","","https://static01.nyt.com/images/2017/10/22/briefing/23ASIA-briefing-promo/23ASIA-briefing-promo-superJumbo-v4.jpg","superJumbo","188","624","image","photo","","","https://nyti.ms/2zuOLG5",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Podcasts","","‘The New Washington’: Secretary of State Rex Tillerson","Mr. Tillerson talked with Jason Zengerle about his most important diplomatic relationship — the one with President Trump — factoring the president’s tweets into foreign policy strategy and more.","https://www.nytimes.com/2017/10/21/podcasts/rex-tillerson-new-washington.html","By MICHAEL BARBARO","Article","2017-10-22T20:57:51-04:00","2017-10-21T21:45:31-04:00","2017-10-21T21:45:31-04:00","","","https://static01.nyt.com/images/2017/10/21/us/21newwash-tillerson/21newwash-tillerson-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","Secretary of State Rex Tillerson with President Trump at the White House this week.","Tom Brenner/The New York Times","https://static01.nyt.com/images/2017/10/21/us/21newwash-tillerson/21newwash-tillerson-thumbLarge.jpg","thumbLarge","150","150","image","photo","Secretary of State Rex Tillerson with President Trump at the White House this week.","Tom Brenner/The New York Times","https://static01.nyt.com/images/2017/10/21/us/21newwash-tillerson/21newwash-tillerson-articleInline.jpg","Normal","125","190","image","photo","Secretary of State Rex Tillerson with President Trump at the White House this week.","Tom Brenner/The New York Times","https://static01.nyt.com/images/2017/10/21/us/21newwash-tillerson/21newwash-tillerson-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","Secretary of State Rex Tillerson with President Trump at the White House this week.","Tom Brenner/The New York Times","https://static01.nyt.com/images/2017/10/21/us/21newwash-tillerson/21newwash-tillerson-superJumbo.jpg","superJumbo","1347","2048","image","photo","Secretary of State Rex Tillerson with President Trump at the White House this week.","Tom Brenner/The New York Times","https://nyti.ms/2gYjEf7",FALSE,"Podcasts","Tillerson, Rex W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","World","Asia Pacific","A Newly Assertive C.I.A. Expands Its Taliban Hunt in Afghanistan","The assignment heralds a shift for the agency, which once viewed such a mission as risky and a drain on resources.","https://www.nytimes.com/2017/10/22/world/asia/cia-expanding-taliban-fight-afghanistan.html","By THOMAS GIBBONS-NEFF, ERIC SCHMITT and ADAM GOLDMAN","Article","2017-10-22T19:21:37-04:00","2017-10-22T12:25:10-04:00","2017-10-22T12:25:10-04:00","","","https://static01.nyt.com/images/2017/10/23/world/23DC-intel/23DC-intel-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","Afghan Army soldiers in 2013. The C.I.A. is expanding its covert operations in Afghanistan, sending small teams of highly experienced officers and contractors to fight alongside Afghan forces.","Daniel Berehulak for The New York Times","https://static01.nyt.com/images/2017/10/23/world/23DC-intel/23DC-intel-thumbLarge.jpg","thumbLarge","150","150","image","photo","Afghan Army soldiers in 2013. The C.I.A. is expanding its covert operations in Afghanistan, sending small teams of highly experienced officers and contractors to fight alongside Afghan forces.","Daniel Berehulak for The New York Times","https://static01.nyt.com/images/2017/10/23/world/23DC-intel/23DC-intel-articleInline.jpg","Normal","122","190","image","photo","Afghan Army soldiers in 2013. The C.I.A. is expanding its covert operations in Afghanistan, sending small teams of highly experienced officers and contractors to fight alongside Afghan forces.","Daniel Berehulak for The New York Times","https://static01.nyt.com/images/2017/10/23/world/23DC-intel/23DC-intel-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","Afghan Army soldiers in 2013. The C.I.A. is expanding its covert operations in Afghanistan, sending small teams of highly experienced officers and contractors to fight alongside Afghan forces.","Daniel Berehulak for The New York Times","https://static01.nyt.com/images/2017/10/23/world/23DC-intel/23DC-intel-superJumbo.jpg","superJumbo","1366","2048","image","photo","Afghan Army soldiers in 2013. The C.I.A. is expanding its covert operations in Afghanistan, sending small teams of highly experienced officers and contractors to fight alongside Afghan forces.","Daniel Berehulak for The New York Times","https://nyti.ms/2gYI9ZA",FALSE,NA,NA,"United States Politics and Government","United States Defense and Military Forces","Afghanistan War (2001- )","Terrorism","Central Intelligence Agency","Taliban","Pompeo, Mike","Trump, Donald J","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","U.S.","Politics","ISIS Fighters Are Not Flooding Back Home to Wreak Havoc as Feared","Several factors contributed: The American-led campaign in Iraq and Syria focused on preventing militants from leaving, and many fought to the death.","https://www.nytimes.com/2017/10/22/us/politics/fewer-isis-fighters-returning-home.html","By ERIC SCHMITT","Article","2017-10-22T12:25:06-04:00","2017-10-22T12:25:06-04:00","2017-10-22T12:25:06-04:00","","","https://static01.nyt.com/images/2017/10/23/world/23DC-TERROR1/17DC-TERROR1-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","Displaced men suspected of being members of the Islamic State were searched and washed recently at a security screening center near Kirkuk, Iraq.","Ivor Prickett for The New York Times","https://static01.nyt.com/images/2017/10/23/world/23DC-TERROR1/17DC-TERROR1-thumbLarge.jpg","thumbLarge","150","150","image","photo","Displaced men suspected of being members of the Islamic State were searched and washed recently at a security screening center near Kirkuk, Iraq.","Ivor Prickett for The New York Times","https://static01.nyt.com/images/2017/10/23/world/23DC-TERROR1/17DC-TERROR1-articleInline.jpg","Normal","128","190","image","photo","Displaced men suspected of being members of the Islamic State were searched and washed recently at a security screening center near Kirkuk, Iraq.","Ivor Prickett for The New York Times","https://static01.nyt.com/images/2017/10/23/world/23DC-TERROR1/17DC-TERROR1-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","Displaced men suspected of being members of the Islamic State were searched and washed recently at a security screening center near Kirkuk, Iraq.","Ivor Prickett for The New York Times","https://static01.nyt.com/images/2017/10/23/world/23DC-TERROR1/17DC-TERROR1-superJumbo.jpg","superJumbo","1379","2048","image","photo","Displaced men suspected of being members of the Islamic State were searched and washed recently at a security screening center near Kirkuk, Iraq.","Ivor Prickett for The New York Times","https://nyti.ms/2h0tygl",FALSE,NA,NA,"Terrorism","Defense and Military Forces","United States Defense and Military Forces","Espionage and Intelligence Services","Islamic State in Iraq and Syria (ISIS)","European Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","World","Asia Pacific","Xi Jinping Pushes China’s Global Rise Despite Friction and Fear","Mr. Xi has enjoyed remarkable success expanding Chinese global influence, benefiting from President Trump’s election. But he is also facing pushback to his assertive approach to foreign policy.","https://www.nytimes.com/2017/10/22/world/asia/china-xi-jinping-global-power.html","By JANE PERLEZ","Article","2017-10-22T20:35:42-04:00","2017-10-22T14:25:54-04:00","2017-10-22T14:25:54-04:00","","","https://static01.nyt.com/images/2017/10/23/world/21global-1/21global-1-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","President Xi Jinping is pushing a vision of national rejuvenation during the Communist Party congress, which is expected to give him a second five-year term.","Kevin Frayer/Getty Images","https://static01.nyt.com/images/2017/10/23/world/21global-1/21global-1-thumbLarge.jpg","thumbLarge","150","150","image","photo","President Xi Jinping is pushing a vision of national rejuvenation during the Communist Party congress, which is expected to give him a second five-year term.","Kevin Frayer/Getty Images","https://static01.nyt.com/images/2017/10/23/world/21global-1/21global-1-articleInline.jpg","Normal","127","190","image","photo","President Xi Jinping is pushing a vision of national rejuvenation during the Communist Party congress, which is expected to give him a second five-year term.","Kevin Frayer/Getty Images","https://static01.nyt.com/images/2017/10/23/world/21global-1/21global-1-mediumThreeByTwo210-v2.jpg","mediumThreeByTwo210","140","210","image","photo","President Xi Jinping is pushing a vision of national rejuvenation during the Communist Party congress, which is expected to give him a second five-year term.","Kevin Frayer/Getty Images","https://static01.nyt.com/images/2017/10/23/world/21global-1/21global-1-superJumbo.jpg","superJumbo","1366","2048","image","photo","President Xi Jinping is pushing a vision of national rejuvenation during the Communist Party congress, which is expected to give him a second five-year term.","Kevin Frayer/Getty Images","https://nyti.ms/2gYGxz5",FALSE,NA,"Xi Jinping","International Relations","United States International Relations","Defense and Military Forces","International Trade and World Market",NA,NA,NA,NA,NA,"China","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Business Day","Media","O’Reilly Settled New Harassment Claim, Then Fox Renewed His Contract","In January, the Fox News host was said to have agreed to a $32 million settlement with a former network analyst, the largest of his known payouts.","https://www.nytimes.com/2017/10/21/business/media/bill-oreilly-sexual-harassment.html","By EMILY STEEL and MICHAEL S. SCHMIDT","Article","2017-10-22T03:54:30-04:00","2017-10-21T13:23:46-04:00","2017-10-21T13:23:46-04:00","","","https://static01.nyt.com/images/2017/10/23/business/22FOX-8/22FOX-8-thumbStandard-v2.jpg","Standard Thumbnail","75","75","image","photo","Bill O’Reilly at his studio in 2012. He was forced out of Fox News in April after public disclosure of five settlements related to harassment allegations against him.","Robert Wright for The New York Times","https://static01.nyt.com/images/2017/10/23/business/22FOX-8/22FOX-8-thumbLarge-v2.jpg","thumbLarge","150","150","image","photo","Bill O’Reilly at his studio in 2012. He was forced out of Fox News in April after public disclosure of five settlements related to harassment allegations against him.","Robert Wright for The New York Times","https://static01.nyt.com/images/2017/10/23/business/22FOX-8/22FOX-8-articleInline.jpg","Normal","127","190","image","photo","Bill O’Reilly at his studio in 2012. He was forced out of Fox News in April after public disclosure of five settlements related to harassment allegations against him.","Robert Wright for The New York Times","https://static01.nyt.com/images/2017/10/23/business/22FOX-8/22FOX-8-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","Bill O’Reilly at his studio in 2012. He was forced out of Fox News in April after public disclosure of five settlements related to harassment allegations against him.","Robert Wright for The New York Times","https://static01.nyt.com/images/2017/10/23/business/22FOX-8/22FOX-8-superJumbo.jpg","superJumbo","1352","2027","image","photo","Bill O’Reilly at his studio in 2012. He was forced out of Fox News in April after public disclosure of five settlements related to harassment allegations against him.","Robert Wright for The New York Times","https://nyti.ms/2gXVd1j",FALSE,NA,"O'Reilly, Bill","Sexual Harassment","Workplace Environment",NA,NA,NA,NA,NA,NA,NA,NA,NA,"21st Century Fox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","U.S.","Politics","McCain in Twilight: An Unfettered Voice Against Trumpism","Senator John McCain, the irrepressible Arizona Republican, has long felt free to speak his mind. But since his cancer diagnosis, he has been a vocal defender of national ideals.","https://www.nytimes.com/2017/10/21/us/politics/mccain-cancer-trump-career-twilight-speech.html","By SHERYL GAY STOLBERG","Article","2017-10-21T11:13:22-04:00","2017-10-21T11:13:22-04:00","2017-10-21T11:13:22-04:00","","","https://static01.nyt.com/images/2017/10/22/us/22dc-mccain1/22dc-mccain1-thumbStandard-v2.jpg","Standard Thumbnail","75","75","image","photo","Senator John McCain in Philadelphia on Monday after receiving the Liberty Medal for his lifetime of public service.","William Thomas Cain/Getty Images","https://static01.nyt.com/images/2017/10/22/us/22dc-mccain1/22dc-mccain1-thumbLarge-v2.jpg","thumbLarge","150","150","image","photo","Senator John McCain in Philadelphia on Monday after receiving the Liberty Medal for his lifetime of public service.","William Thomas Cain/Getty Images","https://static01.nyt.com/images/2017/10/22/us/22dc-mccain1/22dc-mccain1-articleInline-v4.jpg","Normal","194","190","image","photo","Senator John McCain in Philadelphia on Monday after receiving the Liberty Medal for his lifetime of public service.","William Thomas Cain/Getty Images","https://static01.nyt.com/images/2017/10/22/us/22dc-mccain1/22dc-mccain1-mediumThreeByTwo210-v3.jpg","mediumThreeByTwo210","140","210","image","photo","Senator John McCain in Philadelphia on Monday after receiving the Liberty Medal for his lifetime of public service.","William Thomas Cain/Getty Images","https://static01.nyt.com/images/2017/10/22/us/22dc-mccain1/22dc-mccain1-superJumbo.jpg","superJumbo","1162","2048","image","photo","Senator John McCain in Philadelphia on Monday after receiving the Liberty Medal for his lifetime of public service.","William Thomas Cain/Getty Images","https://nyti.ms/2zq4ruh",FALSE,NA,NA,"Presidential Election of 2016","Russian Interference in 2016 US Elections and Ties to Trump Associates","Speeches and Statements",NA,NA,NA,"Bannon, Stephen K","Trump, Donald J",NA,NA,NA,NA,"McCain, John",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","U.S.","Politics","Political Guardrails Gone, a President’s Somber Duty Skids Into Spectacle","The weeklong feud between President Trump and a Democratic congresswoman after a soldier’s death might never have happened had either side followed convention.","https://www.nytimes.com/2017/10/21/us/politics/trump-frederica-wilson.html","By MICHAEL D. SHEAR","Article","2017-10-21T19:05:44-04:00","2017-10-21T17:58:24-04:00","2017-10-21T17:58:24-04:00","","","https://static01.nyt.com/images/2017/10/22/us/22dc-assess-2/22dc-assess-2-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","President Trump did not do what any of his predecessors almost certainly would have done: apologize for words that failed to bring comfort to a grieving Army widow.","Tom Brenner/The New York Times","https://static01.nyt.com/images/2017/10/22/us/22dc-assess-2/22dc-assess-2-thumbLarge.jpg","thumbLarge","150","150","image","photo","President Trump did not do what any of his predecessors almost certainly would have done: apologize for words that failed to bring comfort to a grieving Army widow.","Tom Brenner/The New York Times","https://static01.nyt.com/images/2017/10/22/us/22dc-assess-2/22dc-assess-2-articleInline.jpg","Normal","127","190","image","photo","President Trump did not do what any of his predecessors almost certainly would have done: apologize for words that failed to bring comfort to a grieving Army widow.","Tom Brenner/The New York Times","https://static01.nyt.com/images/2017/10/22/us/22dc-assess-2/22dc-assess-2-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","President Trump did not do what any of his predecessors almost certainly would have done: apologize for words that failed to bring comfort to a grieving Army widow.","Tom Brenner/The New York Times","https://static01.nyt.com/images/2017/10/22/us/22dc-assess-2/22dc-assess-2-superJumbo.jpg","superJumbo","1366","2048","image","photo","President Trump did not do what any of his predecessors almost certainly would have done: apologize for words that failed to bring comfort to a grieving Army widow.","Tom Brenner/The New York Times","https://nyti.ms/2gYbqnt",FALSE,NA,NA,"United States Politics and Government","Apologies","Widows and Widowers",NA,NA,NA,"Wilson, Frederica S","Trump, Donald J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","U.S.","Politics","McConnell Signals Willingness to Hold Vote on Health Deal if Trump Approves","The comments by Senator Mitch McConnell, the majority leader, shifted attention to Mr. Trump, who has sent mixed signals about a bipartisan bill unveiled last week.","https://www.nytimes.com/2017/10/22/us/politics/mitch-mcconnell-trump-bipartisan-health-proposal.html","By NICHOLAS FANDOS","Article","2017-10-22T15:57:13-04:00","2017-10-22T15:55:25-04:00","2017-10-22T15:55:25-04:00","","","https://static01.nyt.com/images/2017/10/23/us/23dc-health1/23dc-health1-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","President Trump outside the White House with Senator Mitch McConnell, the majority leader, last week. “I’m not certain yet what the president is looking for here, but I’ll be happy to bring a bill to the floor if I know President Trump would sign it,” Mr. McConnell said on Sunday.","Tom Brenner/The New York Times","https://static01.nyt.com/images/2017/10/23/us/23dc-health1/23dc-health1-thumbLarge.jpg","thumbLarge","150","150","image","photo","President Trump outside the White House with Senator Mitch McConnell, the majority leader, last week. “I’m not certain yet what the president is looking for here, but I’ll be happy to bring a bill to the floor if I know President Trump would sign it,” Mr. McConnell said on Sunday.","Tom Brenner/The New York Times","https://static01.nyt.com/images/2017/10/23/us/23dc-health1/23dc-health1-articleInline.jpg","Normal","127","190","image","photo","President Trump outside the White House with Senator Mitch McConnell, the majority leader, last week. “I’m not certain yet what the president is looking for here, but I’ll be happy to bring a bill to the floor if I know President Trump would sign it,” Mr. McConnell said on Sunday.","Tom Brenner/The New York Times","https://static01.nyt.com/images/2017/10/23/us/23dc-health1/23dc-health1-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","President Trump outside the White House with Senator Mitch McConnell, the majority leader, last week. “I’m not certain yet what the president is looking for here, but I’ll be happy to bring a bill to the floor if I know President Trump would sign it,” Mr. McConnell said on Sunday.","Tom Brenner/The New York Times","https://static01.nyt.com/images/2017/10/23/us/23dc-health1/23dc-health1-superJumbo.jpg","superJumbo","1365","2048","image","photo","President Trump outside the White House with Senator Mitch McConnell, the majority leader, last week. “I’m not certain yet what the president is looking for here, but I’ll be happy to bring a bill to the floor if I know President Trump would sign it,” Mr. McConnell said on Sunday.","Tom Brenner/The New York Times","https://nyti.ms/2ztJled",FALSE,NA,NA,"Law and Legislation","Health Insurance and Managed Care","United States Politics and Government",NA,NA,NA,"McConnell, Mitch","Trump, Donald J",NA,NA,NA,"Senate","Schumer, Charles E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","U.S.","","Still Waiting for FEMA in Texas and Florida After Hurricanes","After Harvey and Irma, residents are waiting weeks for FEMA inspections and hours on hold when calling the agency’s help line.","https://www.nytimes.com/2017/10/22/us/fema-texas-florida-delays-.html","By MANNY FERNANDEZ, LIZETTE ALVAREZ and RON NIXON","Article","2017-10-22T20:32:55-04:00","2017-10-22T14:30:16-04:00","2017-10-22T14:30:16-04:00","","","https://static01.nyt.com/images/2017/10/19/us/00fema1/00fema1-thumbStandard-v2.jpg","Standard Thumbnail","75","75","image","photo","Rachel Roberts with her sons, Troy and Harrison, at their home in Houston. After Hurricanes Harvey and Irma, long delays for assistance from the Federal Emergency Management Agency have frustrated residents.","Scott Dalton for The New York Times","https://static01.nyt.com/images/2017/10/19/us/00fema1/00fema1-thumbLarge-v2.jpg","thumbLarge","150","150","image","photo","Rachel Roberts with her sons, Troy and Harrison, at their home in Houston. After Hurricanes Harvey and Irma, long delays for assistance from the Federal Emergency Management Agency have frustrated residents.","Scott Dalton for The New York Times","https://static01.nyt.com/images/2017/10/19/us/00fema1/00fema1-articleInline-v2.jpg","Normal","125","190","image","photo","Rachel Roberts with her sons, Troy and Harrison, at their home in Houston. After Hurricanes Harvey and Irma, long delays for assistance from the Federal Emergency Management Agency have frustrated residents.","Scott Dalton for The New York Times","https://static01.nyt.com/images/2017/10/19/us/00fema1/00fema1-mediumThreeByTwo210-v2.jpg","mediumThreeByTwo210","140","210","image","photo","Rachel Roberts with her sons, Troy and Harrison, at their home in Houston. After Hurricanes Harvey and Irma, long delays for assistance from the Federal Emergency Management Agency have frustrated residents.","Scott Dalton for The New York Times","https://static01.nyt.com/images/2017/10/19/us/00fema1/00fema1-superJumbo.jpg","superJumbo","1364","2048","image","photo","Rachel Roberts with her sons, Troy and Harrison, at their home in Houston. After Hurricanes Harvey and Irma, long delays for assistance from the Federal Emergency Management Agency have frustrated residents.","Scott Dalton for The New York Times","https://nyti.ms/2h10PYW",FALSE,NA,NA,"Hurricane Harvey (2017)","Hurricanes and Tropical Storms","Disasters and Emergencies",NA,NA,NA,NA,NA,"Houston (Tex)",NA,NA,"Federal Emergency Management Agency",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
