Year,Operator.Wage,Other.Wage,Fringe.Benefit,Services,Fuel.Lube,Tires.Other,Utilities,Casualty.Liability,Other,Expense.Transfer
1997,187152000,1052571000,615292000,66515000,1286000,138231000,158881000,35097000,653000,-400569000
1998,197504000,1048337000,620366000,90600000,1011000,161207000,155766000,37826000,5307000,-473677000
1999,208887000,1109146000,643602000,81823000,1515000,194973000,161733000,45024000,21264000,-513045000
2000,225083000,1197335000,712861000,86677000,2134000,197128000,163628000,49125000,6163000,-549803000
2001,236617000,1277831000,792789000,97365000,2040000,218353000,164386000,30328000,759000,-608911000
2002,248866000,1319444000,841110000,89936000,2144000,189588000,167422000,49380000,577000,-652523000
2003,264794000,1317717000,954039000,89032000,3124000,177743000,169477000,62001000,3443000,-662983000
2004,277387000,1317275000,1064092000,97057000,3197000,171710000,178642000,50696000,20351000,-642768000
2005,285239000,1329631000,1168890000,97871000,3524000,182556000,211472000,44326000,22814000,-628873000
2006,292370000,1405646000,1118956000,90610000,3975000,197155000,222698000,25740000,15747000,-665152000
2007,299679000,1455800000,1326184000,89533000,4465000,211877000,242560000,54834000,27442000,-683866000
2008,307171000,1528666000,1466413000,106169000,5766000,215778000,258283000,47453000,24722000,-710390000
2009,314851000,1557656000,1552822000,102836000,4443000,234136000,269383000,79057000,27744000,-829799000
2010,322801000,1542021000,1633885000,102258000,4269000,216441000,279702000,83707000,29143000,-868293000
2011,330871000,1548036000,1699870000,93903000,4408000,227745000,299126000,112775000,39818000,-831130000
2012,339060000,1572998000,1863936000,107449000,6024000,216747000,318677000,47065000,38231000,-766108000
2013,347536000,1650514000,1915005000,114855000,6216000,243916000,322664000,101798000,60984000,0
2014,356225000,1752498000,2029341000,106449000,7652000,268684000,344067000,107978000,49189000,0
2015,365130000,1814337000,2153595000,105611000,4785000,98000,314349000,131666000,263449000,47194000
2016,374258000,1900102000,2390069000,121174000,4000000,82000,283189000,169989000,270647000,45432000
